Repository Name,Repository URL,LOC,NC,ANA,ANM,ANSM,ANGM,ANCM,NGen,NAssoc
fragnums,https://github.com/pyricau/fragnums,266.0000,2.0000,5.5000,16.0000,0.0000,0.5000,15.5000,11.0000,0.0000
NodeFlow,https://github.com/Telenav/NodeFlow,977.0000,5.0000,6.8000,26.2000,2.4000,3.4000,20.4000,14.0000,20.0000
FabTransitionLayout,https://github.com/bowyer-app/FabTransitionLayout,1754.0000,15.0000,8.8667,14.0667,0.4667,0.9333,12.6667,57.0000,76.0000
cyclops-integration,https://github.com/aol/cyclops-integration,23493.0000,157.0000,1.9045,11.3949,0.1019,0.1783,11.1146,182.0000,117.0000
BadgedImageview,https://github.com/yesidlazaro/BadgedImageview,571.0000,10.0000,2.3000,5.9000,0.5000,0.4000,5.0000,10.0000,13.0000
AZExplosion,https://github.com/Xieyupeng520/AZExplosion,358.0000,7.0000,4.2857,4.2857,0.0000,0.1429,4.1429,13.0000,17.0000
CircleLoadingView,https://github.com/jhw-dev/CircleLoadingView,209.0000,2.0000,8.5000,12.5000,1.0000,0.0000,11.5000,8.0000,9.0000
BlurZoomGallery,https://github.com/fafaldo-zz/BlurZoomGallery,762.0000,9.0000,6.6667,7.6667,0.4444,0.2222,7.0000,29.0000,31.0000
HeiPermission,https://github.com/forJrking/HeiPermission,728.0000,7.0000,6.2857,10.0000,0.2857,0.2857,9.4286,23.0000,21.0000
leetcode,https://github.com/tg123/leetcode,12090.0000,370.0000,2.5946,2.1459,0.0081,0.0189,2.1189,294.0000,666.0000
OpenLibra-Material,https://github.com/saulmm/OpenLibra-Material,1064.0000,14.0000,3.4286,7.0714,0.5000,0.9286,5.6429,35.0000,13.0000
transparent-over-animtabsview,https://github.com/wuyexiong/transparent-over-animtabsview,241.0000,4.0000,4.7500,7.0000,0.5000,0.7500,5.7500,9.0000,10.0000
Fling,https://github.com/NoRulesJustFeels/Fling,5289.0000,23.0000,20.3478,24.4783,0.5217,1.4783,22.4783,342.0000,126.0000
Android-UploadMultipartImage,https://github.com/lidong1665/Android-UploadMultipartImage,6784.0000,64.0000,6.5625,10.0156,1.7500,2.1406,6.1250,312.0000,108.0000
TinderView,https://github.com/GadgetCheck/TinderView,2215.0000,22.0000,7.0000,11.4545,1.3636,0.6364,9.4545,74.0000,80.0000
redux-java,https://github.com/glung/redux-java,409.0000,9.0000,1.6667,6.1111,0.1111,0.3333,5.6667,14.0000,1.0000
ZuiMeiTAG,https://github.com/huage2580/ZuiMeiTAG,582.0000,7.0000,7.8571,9.0000,0.1429,0.2857,8.5714,24.0000,31.0000
DexMovingImageView,https://github.com/dexlex/DexMovingImageView,4837.0000,46.0000,4.1087,9.7826,1.3261,1.6304,6.8261,78.0000,111.0000
SublimeNavigationView,https://github.com/vikramkakkar/SublimeNavigationView,6089.0000,43.0000,6.1860,13.1628,2.1395,1.2558,9.7674,135.0000,131.0000
TestAppBar,https://github.com/SpikeKing/TestAppBar,545.0000,8.0000,2.6250,6.8750,0.1250,0.7500,6.0000,12.0000,9.0000
KugouLayout,https://github.com/zhaozhentao/KugouLayout,2581.0000,27.0000,5.4815,9.7037,0.6296,0.7778,8.2963,31.0000,117.0000
Dagger2Sample,https://github.com/niuxiaowei/Dagger2Sample,610.0000,16.0000,0.4375,3.6250,0.1875,0.5625,2.8750,5.0000,2.0000
VolleyImageCacheExample,https://github.com/rdrobinson3/VolleyImageCacheExample,1026.0000,11.0000,3.8182,7.6364,0.0000,2.5455,5.0909,33.0000,9.0000
Android-Ganhuo,https://github.com/ganhuo/Android-Ganhuo,1194.0000,15.0000,1.7333,9.4667,0.0667,1.4667,7.9333,19.0000,7.0000
lingJuan,https://github.com/CrackgmKey/lingJuan,15169.0000,134.0000,7.3806,9.2910,0.8433,1.2463,7.2015,466.0000,523.0000
TextViewForFullHtml,https://github.com/xuyisheng/TextViewForFullHtml,10752.0000,41.0000,14.3659,19.7317,1.0000,1.3659,17.3659,272.0000,317.0000
Carousel-Browsing-Example,https://github.com/Jaouan/Carousel-Browsing-Example,475.0000,8.0000,2.0000,5.5000,0.3750,0.3750,4.7500,11.0000,5.0000
CardMenuView,https://github.com/Janseon/CardMenuView,1986.0000,17.0000,7.2941,13.2353,2.3529,0.7647,10.1176,58.0000,66.0000
PlumbTextView,https://github.com/lybeat/PlumbTextView,630.0000,12.0000,3.6667,5.5833,0.7500,1.0000,3.8333,18.0000,26.0000
ProcessKeep,https://github.com/xuningjack/ProcessKeep,186.0000,7.0000,0.4286,3.8571,0.0000,0.2857,3.5714,3.0000,0.0000
DraggableFlipView,https://github.com/ssk5460/DraggableFlipView,397.0000,7.0000,2.8571,5.4286,0.5714,0.5714,4.2857,6.0000,14.0000
learning-rxjava,https://github.com/meddle0x53/learning-rxjava,3542.0000,46.0000,1.5870,6.2391,0.0870,0.2391,5.9130,61.0000,12.0000
SeeNewsV2,https://github.com/studychen/SeeNewsV2,5155.0000,58.0000,5.3966,7.7586,0.6724,0.8276,6.2586,221.0000,92.0000
decorator,https://github.com/eyeem/decorator,4104.0000,78.0000,2.5256,4.8974,0.1795,0.8077,3.9103,144.0000,53.0000
ele_demo,https://github.com/guxun12/ele_demo,12842.0000,145.0000,12.5517,7.9724,0.9724,0.8069,6.1931,222.0000,1598.0000
SlidingBall,https://github.com/yixiaolunhui/SlidingBall,953.0000,12.0000,5.2500,7.5000,1.4167,1.3333,4.7500,16.0000,47.0000
squall,https://github.com/epfldata/squall,72638.0000,350.0000,19.2057,27.7086,0.7371,2.5314,24.4400,3985.0000,2737.0000
DoubleViewPager,https://github.com/juliome10/DoubleViewPager,5889.0000,21.0000,35.4762,16.5714,1.5238,0.8571,14.1905,194.0000,551.0000
thucydides,https://github.com/thucydides-webtests/thucydides,63485.0000,807.0000,4.6084,10.8253,0.2317,1.0595,9.5341,3150.0000,569.0000
ParcelablePlease,https://github.com/sockeqwe/ParcelablePlease,3193.0000,37.0000,4.0000,8.4865,0.0541,0.5405,7.8919,118.0000,30.0000
UILibrary,https://github.com/7heaven/UILibrary,3036.0000,26.0000,7.5769,11.8462,1.7692,0.5385,9.5385,66.0000,131.0000
faunus,https://github.com/thinkaurelius/faunus,17130.0000,253.0000,4.1700,7.4704,0.4269,0.4111,6.6324,838.0000,217.0000
BilibiliSearchView,https://github.com/didixyy/BilibiliSearchView,361.0000,6.0000,2.3333,6.5000,0.0000,0.3333,6.1667,6.0000,8.0000
Android-ViewPagerIndicator,https://github.com/hongyangAndroid/Android-ViewPagerIndicator,504.0000,3.0000,9.6667,14.0000,1.6667,1.0000,11.3333,17.0000,12.0000
JsonAnnotation,https://github.com/tianzhijiexian/JsonAnnotation,4223.0000,15.0000,11.2000,23.3333,0.4000,1.6000,21.3333,119.0000,49.0000
SpinningTabStrip,https://github.com/eccyan/SpinningTabStrip,1757.0000,13.0000,10.0000,15.5385,2.5385,2.4615,10.5385,44.0000,86.0000
ShakeDetector,https://github.com/tbouron/ShakeDetector,549.0000,4.0000,3.7500,11.7500,0.2500,1.0000,10.5000,8.0000,7.0000
OwlView,https://github.com/binglingziyu/OwlView,550.0000,5.0000,5.0000,16.0000,0.0000,0.0000,16.0000,17.0000,8.0000
SyncAdapter,https://github.com/Udinic/SyncAdapter,1763.0000,17.0000,9.8235,10.5882,0.5294,0.9412,9.1176,147.0000,20.0000
SunBaby,https://github.com/Hitomis/SunBaby,697.0000,4.0000,14.7500,18.2500,0.0000,0.0000,18.2500,21.0000,38.0000
